31-31,32-40
16-50,9-55
62-71,62-71
79-98,7-66
43-58,58-58
25-30,25-54
2-17,16-27
88-99,15-87
33-94,94-94
9-11,10-43
38-97,39-95
17-58,18-57
25-97,17-62
9-19,10-26
87-88,86-87
23-58,22-59
49-96,49-49
64-81,31-70
3-85,2-86
10-10,9-28
9-51,5-9
49-57,48-57
1-65,3-66
54-70,70-71
2-61,1-60
90-98,57-91

